Epocas,FID (menos es mejor: 26.509),IS (mayor es mejor: 2.317), GANs
120,64.59511735967222,2.0236232, 2
120,69.83938443979639,1.9866444, 1
100,66.05665067179979,1.9868889L, 2
100,72.84842047072826,1.9794283, 1
80,76.16749514087086,1.9076948, 2
80,84.821142235481,1.8745266, 1
