Epocas,FID (menos es mejor: 26.509),IS (mayor es mejor: 2.317), GANs
120,79.04444881118467,1.9074882,2
120,80.455867218631,1.8395153,1
100,87.541600223962,1.902977, 2
100,97.2036736261917,1.8464205, 1
80,99.78119165432345,1.8412174, 2
80,110.92335288353429,1.7686269, 1
