Epocas,FID (menos es mejor: 26.509),IS (mayor es mejor: 2.317), GANs
100,75.37027617396404,1.9228404, 2
80,87.0126949854733,1.8923872, 2
100,80.83894088450029,1.9163504, 1
80,95.97532564247345,1.880757, 1
